INDEX,EN
LogUpload_NoWhiteList,"Failed to upload, white list not set, please contact customer support."
LogUpload_NotInWhiteList,"Failed to upload, not in white list. Please contact customer support."
LogUpload_ServerSaveFailed,Log server failed to save. Please contact customer support.
LogUpload_Unknown,Unknown error
LogUpload_ServerError,Log server error
LogUpload_TryLater,"Too many requests, please try again in {0} second(s)."
LogUpload_UploadLog,Upload Log
LogUpload_Upload,Upload
PanelGuildGVEMap_Info,------Settlement-------
WildernessTreasure_Des_1,"In the <color=#FF642EFF>Wilderness Scavenger</color> event, after a prize is drawn, the prize will be directly removed from the prize pool, and the probability of drawing other prizes next time will be greatly increased. The required <color=#FF642EFF> Scavenger Clues</color> will also gradually increase; this event has 1 rounds of prize pools, and the value of prizes increases as the event progresses; after the event ends, all unused scavenger clues will be exchanged for 1000 bottle caps, please purchase carefully according to the lottery requirements Scavengers clues."
TreasurePack_Des_1,"The wilderness clues obtained in the loot gift pack are used for the wilderness loot draw. There is an upper limit for the number of gift packs, please purchase carefully according to the lottery requirements."
PanelLogin_ID,USERNAME
PanelLogin_Into,ENTER
PanelLogin_Login,LOGIN
PanelLogin_Reg,CREATE VAULT
PanelLogin_Create,OVERSEER NAME
PanelLogin_Btn_CreateRoleName,CREATE VAULT
PanelLogin_Skip,SKIP
PanelLogin_Loading,Loading...
PanelLogin_Switch,SELECT SERVER
PanelLogin_ServerList,SERVER LIST
PanelLogin_Password,PASSWORD
PanelLogin_PasswordNew,NEW PASSWORD
PanelLogin_RegID,NEW USERNAME
PanelLogin_InputName,Enter Username
PanelLogin_InputNewName,Enter New Username
PanelLogin_InputPassword,Enter password
PanelLogin_InputNewPassword,Enter new password
PanelLogin_InputPlayerName,Enter new ID
PanelLogin_ErrName,Invalid username please try again
PanelLogin_ErrNameLength,Username must be less than 6 characters
PanelLogin_ErrHaveName,Username already exists
PanelLogin_ErrNameNull,Username cannot be empty
PanelLogin_ErrPasswordNull,Password cannot be empty
PanelLogin_ErrNameFormat,Password can only include English characters and numbers
PanelLogin_ErrBlockCreateRole,Sorry the tester limit has been reached and cannot create account. Please pay attention to official channels for more updates.
PanelLogin_LoginFail,Login Failed
PanelLogin_RegSuccess,Sign-up successful
PanelLogin_RegFail,Sign-up failed
PanelLogin_ErrMessDirtyName,"Those words are not allowed, please type something else."
PanelLogin_ServerUnderMaintenance,Server maintenance. Please follow official channels for updates.
PanelLogin_NoLoginServerConfig,No server login config
PanelLogin_GetGameServerFailed,Server connection failed
PanelLogin_ServerListIsEmpty,Server list is empty
PanelLogin_EnterBlockTips_Title,WARNING
PanelLogin_EnterBlockTips_ForBeingAttacked,"Your Vault is under attack, please try again in a few seconds."
PanelLogin_EnterBlockTips_CountDown,Out-Of-Combat Countdown:{sp}
Panel_LoginWaitQueueTips_Title,LOGIN QUEUE
Panel_LoginWaitQueueTips_Content,"Due to this being a peak time, you have been queued."
Panel_LoginWaitQueueTips_QuauePos,Your position in the queue:{0}
Panel_LoginWaitQueueTips_WaitTime,Expected waiting time:{0}
Panel_LoginWaitQueueTips_CancelBtn,Cancel
Panel_Login_ServerState_FLUENT,<size=18>(Standard)</size>
Panel_Login_ServerState_CROWDED,<size=18>(Heavy)</size>
Panel_Login_ServerState_FIRE,<size=18>(FULL)</size>
Panel_Login_ServerState_MAINTENANCE,<size=18>(OFFLINE)</size>
PanelLogin_ClickContinue,TAP TO CONTINUE
PanelLogin_RecentLoginServer_Lang,RECENT LOGIN
PanelLogin_ServerList_Lang,SERVERS
PanelLogin_TestServerList_Lang,Beta Server List:{sp}
PanelLogin_LoginServer_Lang,Recent Server
PanelLogin_ChooseVersionType,NOTICE: GAME WILL RESTART
PanelLogin_Btn_LogoutAccount,CHANGE USER
PanelLogin_Tips_LogoutAccountConfirm,Do you want to switch accounts?
PanelLogin_Btn_BackToLogin,BACK
PanelLogin_Btn_Recommend,RECOMMENDED
PanelLogin_Tips_SwitchLanguageConfirm,"Switching language will log you out, continue?"
PanelLogin_Btn_SwitchServer,SWITCH SERVER
PanelLoginNotice_Title,ANNOUNCEMENT
PanelNotice_Confirm,CONFIRM
PanelNotice_AgeWarning,
PanelNotice_AgeWarning_Title,
PanelOnlineTime_Title,Remember to always take a break.
PanelOnlineTime_Confirm,CONFIRM
PanelDisconnectionReconnection_Error,"Server disconnected, please check your internet connection."
PanelDisconnectionReconnection_TryAgain,TRY AGAIN
PanelDisconnectionReconnection_TryLogin,RE-LOGIN
PanelDisconnectionReconnection_TryLoading,Loading...
PanelSystemSetting_ClientFix,REPAIR CLIENT
PanelSystemSetting_ConfirmTips_ClientFix,"A client repair will restart the game (must be done manually on iOS), delete local data, and download latest data from the server!"
NetErrMsg_ec_server_full,Server is Full
NetErrMsg_ec_server_queue,Queuing
NetErrMsg_ec_send_fast,Requested Too Many Times
NetErrMsg_ec_invalid_server,Illegal Server
NetErrMsg_kTooLong,The message is too long!
NetErrMsg_kTooQuick,Send a message too fast!
NetErrMsg_kError,Error message!
NetErrMsg_kForbidden,It has been banned!
NetErrMsg_kNotInChannel,Join Channel failed!
NetErrMsg_kParamError,Message parameter error!
NetErrMsg_kBlacked,It has been banned!
NetErrMsg_kInactiveType,Message type error!
NetErrMsg_kInitFailed,Chat SDK initialization failed!
NetErrMsg_kInitParamError,Chat SDK initialization parameter error!
NetErrMsg_kChannelDataInvalid,No channel data!
NetErrMsg_kExpired,"Chat SDK login failed, expired passport!"
NetErrMsg_kInvalid,"Chat SDK login fails, the account information is wrong!"
NetErrMsg_kNetError,"Chat SDK login failures, network error!"
NetErrMsg_kLoginFailed,Chat SDK Login failed!
NetErrMsg_ec_invalid_player,Invalid Player
NetErrMsg_ec_fuction_lock,Function currently locked.
NetErrMsg_ec_gold_not_enough,Not Enough Caps
NetErrMsg_ec_cd,Cooling Down
NetErrMsg_ec_max_slot,Max Slots reached.
NetErrMsg_ec_max_lv,Max Level reached.
NetErrMsg_ec_res_not_enough,Not Enough Resources
NetErrMsg_ec_invalid_operate,Invalid operation
NetErrMsg_ec_server,Server error
NetErrMsg_ec_unknown,Cause unknown.
NetErrMsg_ec_upperlimit,Max reached.
NetErrMsg_ec_invalid_slot,Invalid Slot
NetErrMsg_ec_func_locked,Function Locked
NetErrMsg_ec_friend_no_self,You cannot be your own friend.
NetErrMsg_ec_friend_already,You are already friends.
NetErrMsg_ec_friend_apply_cd,Friend request cooling down.
NetErrMsg_ec_friend_self_max_num,Friend list is full.
NetErrMsg_ec_friend_other_max_num,Their friends list is full.
NetErrMsg_ec_wipeout_scenetype_invalid,Check to see if scene is fixed.
NetErrMsg_ec_wipeout_not_challenge_times,Check limit.
NetErrMsg_ec_wipeout_not_clear,Have you completed this game?
NetErrMsg_ec_wipeout_not_battleid,Retrieve combat scene ID.
NetErrMsg_ec_wipeout_battletype_invalid,Retrieve combat scene type.
NetErrMsg_ec_wipeout_not_dropitem,Claim reward.
NetErrMsg_ec_wipeout_power_not_enough,Calculate and deduct HP.
NetErrMsg_ec_pvp_target_is_online,Target Online
NetErrMsg_ec_pvp_target_is_attacked,Target is either under attack or has protection.
NetErrMsg_ec_pvp_target_is_miss,Failed to acquire target.
NetErrMsg_ec_market_slot_not_empty,Mark slots occupied.
NetErrMsg_ec_market_goods_price,Wrong unit price setting.
NetErrMsg_ec_market_find_not_goods,Cannot find item.
NetErrMsg_ec_market_goods_markettype_invalid,Invalid item type.
NetErrMsg_ec_market_goods_buyoff,Item sold out.
NetErrMsg_ec_market_goods_overdate,Item expired.
NetErrMsg_ec_market_goods_refresh,"Item data refreshed, please buy again."
NetErrMsg_ec_market_slot_full,Market slots are full.
NetErrMsg_ec_SDK_INIT_ERROR,SDK Initiation failed.
NetErrMsg_ec_No_Player_Brief_Info,"Cannot find target file, information may be lost during the war."
NetErrMsg_ec_space_not_enough,Not enough space.
NetErrMsg_ec_roompet_already_produce_complete,Adoption complete.
NetErrMsg_ec_wa_set_team_error,Failed to Set World Arena Lineup
NetErrMsg_ec_wa_reward_has_gain,Reward Already Claimed
NetErrMsg_ec_wa_choose_target_err,Target Selection Error
NetErrMsg_ec_invalid_giftcode,Invalid Code
NetErrMsg_ec_guild_boss_die,Boss is dead.
NetErrMsg_ec_guild_boss_other_attack,Other players are raiding the boss.
NetErrMsg_ec_guild_boss_count_not_enough,Not enough boss challenges.
NetErrMsg_ec_guild_boss_param_error,Boss configuration error.
NetErrMsg_ec_guild_boss_not_exist,Boss doesn't exist.
NetErrMsg_ec_guild_boss_state_err,"BOSS status changed, can not use."
NetErrMsg_ec_guild_boss_isreward,Rewards claimed.
NetErrMsg_ec_guild_product_not_exist,Guild crafting doesn't exist.
NetErrMsg_ec_guild_product_self_full,Guild crafting queue is full.
NetErrMsg_ec_guild_product_can_not_join,Can't join guild crafting.
NetErrMsg_ec_guild_product_can_not_quit,Can't quit guild crafting.
NetErrMsg_ec_busy,Crafting
NetErrMsg_ec_Floater_Null,Player has turned off the voice messaging.
NetErrMsg_ec_target_join_gvg,Cannot remove Virus Infecting member
NetErrMsg_ec_kill_boss_have_player_battle,"Other players are still in the boss battle, please wait and try again after the end."
NetErrMsg_ec_kill_boss_permission_not_enough,You have no right to behead the boss.
NetErrMsg_ec_gvg_not_join,Have not signed up for this FEV Infection
NetErrMsg_ec_gvg_state_err,Virus Infecting State Error
NetErrMsg_ec_gvg_node_inbattle,Other Overseers attacking this location
NetErrMsg_ec_gvg_node_isother,This Location has been occupied by other Overseers
NetErrMsg_ec_gvg_node_not_near,You cannot attack this location
NetErrMsg_ec_wb_data_invalid,Invalid world boss data
NetErrMsg_ec_wb_battle_server_no_start,Battle Server not activated
NetErrMsg_ec_wb_energy_no_enough,Insufficient mobility
NetErrMsg_ec_wb_atk_team_invalid,Ineffective attacking squad
NetErrMsg_ec_wb_boss_invalid,Boss has been killed or fled
NetErrMsg_ec_wb_boss_hp_zero,Boss has been killed
NetErrMsg_ec_wb_boss_escape,Boss has fled
NetErrMsg_ec_wb_atk_team_no_hero,Offensive Team Has No Heroes
NetErrMsg_ec_wb_use_energy_num_invalid,Invalid amount of action used
NetErrMsg_ec_wb_boss_param_error,Boss parameter error
NetErrMsg_ec_dilemma_not_fisrt_pass,Previous challenge not passed.
NetErrMsg_ec_dilemma_battle_init_fail,Failed to initialize battle data.
NetErrMsg_ec_dilemma_not_num,You have fought enough today. Please come back tomorrow!
NetErrMsg_ec_dilemma_not_unlock_activity,Challenges not unlocked.
NetErrMsg_ec_dilemma_not_unlock_buff,Challenge effects not unlocked.
NetErrMsg_ec_dilemma_not_mopup,Can't Sweep
NetErrMsg_ec_dilemma_buff_too_much,Too many challenge effects selected.
NetErrMsg_ec_dilemma_not_choose_buff,Challenge effects not selected.
NetErrMsg_ec_dilemma_not_choose_buff_diff_group,Can't select different challenge effects.
NetErrMsg_ec_dilemma_choose_buff_group_error,Wrong set of challenge effects selected.
NetErrMsg_ec_hero_use_skin_time_out,Skin expired.
NetErrMsg_ec_hero_use_skin_find_not_hero,No corresponding Dweller skin.
NetErrMsg_ec_hero_use_skin_already_using,Skin already used.
NetErrMsg_ec_reach_max_lv,Level cap reached.
NetErrMsg_ec_mall_goods_in_hand,"Processing, please wait..."
NetErrMsg_ec_guild_name_exist,Guild name already used.
NetErrMsg_ec_self_has_guild,You already own guild.
NetErrMsg_ec_not_in_guild,You are not in a guild.
NetErrMsg_ec_guild_no_permission,No Access
NetErrMsg_ec_guild_full,Guild is full.
NetErrMsg_ec_guild_not_exist,Guild not found.
NetErrMsg_ec_guild_res_not_enough,Not Enough Resources
NetErrMsg_ec_target_not_in_guild,Target not in guild.
NetErrMsg_ec_target_is_self,You cannot be your own target.
NetErrMsg_ec_target_not_in_apply,Target not in request list.
NetErrMsg_ec_target_position_err,Wrong position
NetErrMsg_ec_guild_position_full,Position full
NetErrMsg_ec_leader_quit_error,Cannot quit while there are still members.
NetErrMsg_ec_target_in_other_guild,Target in another guild..
NetErrMsg_ec_guild_flag_not_exist,Target not found.
NetErrMsg_ec_target_not_online,Target offline.
NetErrMsg_ec_not_start_time,Start time not yet
NetErrMsg_ec_invalid_hero,Invalid Dweller.
NetErrMsg_ec_guild_other_delay_time,This player can't join a guild right now.
NetErrMsg_ec_invalid_name,"Cannot use those words, please try again."
NetErrMsg_ec_fitting_produce_not_exist_item,No attachment.
NetErrMsg_ec_global_arena_team_less,Not enough team members!
NetErrMsg_ec_can_not_match_global_arena,Unable to find match. Matchmaking may have started or in another state.
NetErrMsg_ec_cancel_match_global_arena_fail,Failed to cancel matchmaking!
NetErrMsg_ec_global_arena_choose_hero_error,Operation failed.
NetErrMsg_ec_ga_start_battle_failed,Failed to start combat!
NetErrMsg_ec_ga_battle_error,Combat server closed or has an issue.
NetErrMsg_ec_ga_battle_season_change,"Season changed, matchmaking or combat cancelled"
NetErrMsg_ec_global_arena_end_battle,Combat is over!
NetErrMsg_ec_ga_endbattle_failed,Error. Waiting for results from other players.
NetErrMsg_ec_ga_less_version,"Cannot find match, version too low!"
NetErrMsg_ec_redbagrain_not_start,The rain of red packets has not started.
NetErrMsg_ec_redbagrain_already_join,You have already joined the rain of red packets.
NetErrMsg_ec_redbagrain_end_time_out,The rain of red packets is overdue.
NetErrMsg_ec_redbagrain_num_invalid,The number of red packets is invalid.
NetErrMsg_ec_anniversarycake_not_start,The anniversary cake has not started.
NetErrMsg_ec_anniversarycake_already_join,You have already joined the anniversary cake.
NetErrMsg_ec_anniversarycake_end_time_out,The anniversary cake is overdue.
NetErrMsg_ec_anniversarycake_realgift_receive,Fail to claim
NetErrMsg_ec_teamroom_pvp_edit_team_notfill,
NetErrMsg_ec_teamroom_pvp_choose_team_used,
NetErrMsg_ec_teamroom_pvp_state_not_ready,
NetErrMsg_ec_teamroom_room_is_full,
NetErrMsg_ec_teamroom_room_password_wrong,
NetErrMsg_ec_teamroom_join_room_when_in_room,
NetErrMsg_ec_teamroom_join_room_when_in_other_room,
NetErrMsg_ec_teamroom_room_condition_not_meet,
NetErrMsg_ec_teamroom_in_match,
NetErrMsg_ec_teamroom_match_fail,
NetErrMsg_ec_teamroom_edit_team_fail,
NetErrMsg_ec_teamroom_robot_fail,
NetErrMsg_ec_teamroom_pvp_ready_team_nomember,
NetErrMsg_ec_teamroom_pvp_state_not_begin,
YIM_ErrorCode_EngineNotInit,SDK not initialized.
YIM_ErrorCode_NotLogin,SDK not logged in.
YIM_ErrorCode_ParamInvalid,Invalid Parameter
YIM_ErrorCode_TimeOut,Timed Out
YIM_ErrorCode_StatusError,Status Error
YIM_ErrorCode_SDKInvalid,Invalid Appkey
YIM_ErrorCode_AlreadyLogin,Already Logged In
YIM_ErrorCode_LoginInvalid,Invalid Login
YIM_ErrorCode_NetError,Network Error
YIM_ErrorCode_LoginSessionError,Login Status Error
YIM_ErrorCode_NotStartUp,SDK Not Initialized
YIM_ErrorCode_FileNotExist,File does not exist.
YIM_ErrorCode_SendFileError,File Send Error
YIM_ErrorCode_UploadFailed,File Upload Failure
YIM_ErrorCode_UsernamePasswordError,User ID and password do not match last successful login.
YIM_ErrorCode_UserStatusError,Status Error
YIM_ErrorCode_MessageTooLong,Message too long.
YIM_ErrorCode_ReceiverTooLong,Recipient ID too long.
YIM_ErrorCode_InvalidChatType,Invalid chat type.
YIM_ErrorCode_InvalidReceiver,Invalid user ID (Private chat recipient ID must be a number).
YIM_ErrorCode_InvalidAppkey,APPKEY check failed.
YIM_ErrorCode_CreateFileFailed,Failed to create file.
YIM_ErrorCode_UnsupportFormat,Unsupported file format.
YIM_ErrorCode_ReceiverEmpty,Recipient is blank.
YIM_ErrorCode_RoomIDTooLong,Channel name too long.
YIM_ErrorCode_ContentInvalid,You cannot type that.
YIM_ErrorCode_NoLocationAuthrize,Location locked.
YIM_ErrorCode_Unsupport,Interface not supported.
YIM_ErrorCode_NoAudioDevice,No audio device.
YIM_ErrorCode_AudioDriver,Audio driver error.
YIM_ErrorCode_DeviceStatusInvalid,Device status error.
YIM_ErrorCode_ResolveFileError,File parsing error.
YIM_ErrorCode_ReadWriteFileError,File read and write error.
YIM_ErrorCode_NoLangCode,Language coding error.
YIM_ErrorCode_TranslateUnable,Invalid interface translation.
YIM_ErrorCode_SpeechAccentInvalid,Speech recognition: invalid dialect.
YIM_ErrorCode_SpeechLanguageInvalid,Speech recognition: invalid language.
YIM_ErrorCode_HasIllegalText,Message contains invalid characters.
YIM_ErrorCode_AdvertisementMessage,Spam message detected.
YIM_ErrorCode_AlreadyBlock,User has been blocked.
YIM_ErrorCode_NotBlock,User has not been blocked.
YIM_ErrorCode_MessageBlocked,Message blocked.
YIM_ErrorCode_LocationTimeout,Positioning time out.
YIM_ErrorCode_NotJoinRoom,Did not join room.
YIM_ErrorCode_LoginTokenInvalid,Login token error.
YIM_ErrorCode_CreateDirectoryFailed,Failed to create folder.
YIM_ErrorCode_ALREADYFRIENDS,Server Error
YIM_ErrorCode_PTT_Start,Start Recording
YIM_ErrorCode_PTT_Fail,Recording Failed
YIM_ErrorCode_PTT_DownloadFail,Failed to download voice message.
YIM_ErrorCode_PTT_GetUploadTokenFail,Failed to retrieve voice message token.
YIM_ErrorCode_PTT_UploadFail,Filed to upload voice message.
YIM_ErrorCode_PTT_NotSpeech,Nothing recorded.
YIM_ErrorCode_PTT_DeviceStatusError,Audio device status error.
YIM_ErrorCode_PTT_IsSpeeching,Currently Recording
YIM_ErrorCode_PTT_ReachMaxDuration,Max voice length reached.
YIM_ErrorCode_PTT_IsPlaying,Playing
YIM_ErrorCode_PTT_NotStartPlay,Not yet played.
YIM_ErrorCode_PTT_CancelPlay,Cancelled playback.
YIM_ErrorCode_PTT_NotStartRecord,Voice not started.
YIM_ErrorCode_PTT_NotInit,Not initialized.
YIM_ErrorCode_PTT_InitFailed,Initialization failed.
YIM_ErrorCode_PTT_Authorize,Recording Permissions
YIM_ErrorCode_PTT_StartRecordFailed,Failed to start recording.
YIM_ErrorCode_PTT_StopRecordFailed,Failed to stop recording.
YIM_ErrorCode_PTT_UnsupprtFormat,Unsupported format.
YIM_ErrorCode_PTT_ResolveFileError,File parsing error.
YIM_ErrorCode_PTT_ReadWriteFileError,File read and write error.
YIM_ErrorCode_PTT_ConvertFileFailed,File conversion error.
YIM_ErrorCode_PTT_NoAudioDevice,No audio device.
YIM_ErrorCode_PTT_NoDriver,Drive error.
YIM_ErrorCode_PTT_StartPlayFailed,Failed to start playing.
YIM_ErrorCode_PTT_StopPlayFailed,Failed to stop playing.
YIM_ErrorCode_Fail,Failed to initiate voice service.
YIM_NO_MicrophonePermission,No Microphone permissions.
YIM_Microphone_Mute,Microphone muted.
YIM_Microphone_No_Available,Microphone not available.
PanelNativePopup_NeedAdressList,Address Book Authorization
PanelNativePopup_NeedCamera,Camera Authorization
PanelNativePopup_NeedSavePic,Saving Photos Authorization
PanelNativePopup_NeedUsePic,Photos Authorization
PanelNativePopup_NeedUseMacrophone,Microphone Authorization
PanelNativePopup_LocationWhenInUse,Location Authorization
PanelNativePopup_IDFA,
PanelTeamConfiguration_Close,CLOSE\nCOMBAT
PanelTeamConfiguration_Mid,MID-RANGE
PanelTeamConfiguration_Long,LONG-RANGE
PanelTeamConfiguration_HeroLevel,LEVEL
PanelBattle_TargetError,INVALID TARGET
PanelBattle_ReleaseSkill,{0} Uses Ability On {1}
PanelBattle_ExitBattleOrNot,YOU WILL LOSE ANY ITEMS YOU HAVE NOT ALREADY PICKED UP IF YOU QUIT. STILL WANT TO LEAVE?
PanelBattle_ExitBattleOrNotInPvpRealTime,Are you sure you want to quit Zenith Arena? You will lose your score.
PanelBattle_ExitBattleOrNotInCLevel,Are you sure you want to quit? \nNotice: All items will be lost.
PanelBattle_ExitBattleOrNot_Exped,Are you sure you want to quit the challenge? \nWarning: Team status will be reset.
PanelBattle_IntoReleaseSkill,Using Skill
PanelBattle_OutReleaseSkill,Not Using Skill
PanelBattle_Support,Support
PanelBattle_BattleItem_InCD,Cooling-Down
PanelBattle_IsRagerNotEnough,Item is Being Used
PanelBattle_BattleItem_ItemMonopoly,Can Not Use Item Here
PanelBattle_BattleItem_NotToSelect,Can Not Use Item Here
PanelBattle_BattleItem_InDebuffer,Can Not Use Item With Current Debuff
PanelBattle_BattleItem_CountNotEnough,Not Enough {0}
PanelBattle_BattleItem_NotCanUsed_InBattle,Can Not Be Used During Combat
PanelBattle_BattleItem_NotCanUsed_InUnBattle,Can Not Be Used When Out of Combat
PanelBattle_BattleItem_NotCanUsed_InUnBattle_CloakBoy,You Can Only Use Stealth Boy in Combat
PanelBattle_BattleItem_NotCanUsed_InMoving,Can Not Use When Moving
PanelBattle_BattleItem_NotDieUnit,No Injured Members
PanelBattle_BattleItem_BloodFilled,HP is Full
PanelBattle_BattleItem_RadiationEmpty,No Radiation to Remove
PanelBattle_BattleItem_UserNotified,Can Not Use When Teleporting
PanelBattle_BattleItem_RagerFilled,AP is Full
PanelBattle_BattleItem_Tips_NoOneNeedRecover,All Recovered
PanelBattle_BattleItem_Tips_UnitRecover,{0} Fully Recovered
PanelBattle_BattleItem_Tips_EnemyNotNearBy,Can Not Use Without An Adjacent Enemy
PanelBattle_BattleItem_Tips_InvalidEnemyRoom,You Must Choose a Room With Enemy
PanelBattle_BattleItem_UseFailed,Used Item Failed
PanelBattle_BattleItem_UsingRope,Use Escape Rope
PanelBattle_BattleItem_ItemUse,Item is Being Used
PanelBattle_BattleItem_UseRop_CannotReach,You Can't Access This
PanelBattle_BattleItem_NotHaveCanSelectRoom,No Room Available
PanelBattle_BattleItem_Tips_CloakBoy_1,Use Stealth Boy to flee combat?
PanelBattle_BattleItem_Tips_CloakBoy_2,Stealth Boy Remaining: {0}
PanelBattle_BattleItem_Tips_CloakBoy_Time,Invisibility Ends in: {0}s
PanelBattle_BattleItem_Tips_CloakBoy_End,Invisibility Lost
PanelBattle_BattleItem_Tips_TrapEliminate_NoRoom,Can Only be Used Near a Trap Room
PanelBattle_BattleItem_Tips_CthulhuStateValueFull,"Team All Healed, Can Not Use the Item"
PanelBattle_BattleItem_Tips_CthulhuLighterUse,Use a Lighter to restore {0} {1} to the team.
PanelBattle_BattleItem_Tips_OxygenValueFull,"Oxygen full, no need to use the item."
PanelBattle_BattleItem_Tips_OxygenCylinderUse,Use an Oxygen Tank to restore {0} Oxygen to the team.
PanelBattle_BattleItem_Tips_SpaceHat_AlreadyPlaced,A Time Icon has been placed.
PanelBattle_BattleItem_Tips_SpaceHat_CannotPlace,This room can not be placed with Time Icons.
PanelBattle_BattleItem_Tips_SpaceHat_title,Hints
PanelBattle_BattleItem_Tips_SpaceHat_content,Are you sure to place a Time Icon in this room?
PanelBattle_BattleItem_Tips_SpaceHat_CannotTransform,"Team Preoccupied, Can Not Teleport"
PanelBattle_BattleItem_Tips_SpaceHat_Transform_Contents,Are you sure to teleport to the room with Time Beacon?
PanelBattle_BattleItem_Tips_SpaceHat_AlreadyArrive,Team is already in the room.
PanelBattle_BattleItem_Tips_PuzzleNote_InvalidRoom,Can not use in this room!
PanelBattle_BattleItem_Tips_PuzzleNote_UseConfirm,Are you sure you want to use in this room?
PanelBattle_BattleItem_Tips_PuzzleNote_AlreadyUsedForTheRoom,Already used in this room!
PanelBattle_BattleItem_PuzzleNoteSuccess,Found Answer Room!
PanelBattle_BattleItem_Tips_BulletStateValueFull,"Support Weapon Ammo is full, can not use this item"
PanelBattle_BattleItem_Tips_BulletUse,Use one Super Ammo Chest to restore Support Weapon Ammo by {0}.
PanelBattle_BattleItem_FestivalLuckStar,Please point on the map using gift points!
PanelBattle_Message_NotEnoughByOrNot,"You don't have enough, want to buy some?"
PanelBattle_Message_Btn_Replay,REPLAY
PanelBattle_Message_CannotCollectDropItemUnderSecurity,Resource is under protection of the security room and can't be looted.
PanelBattle_Tips_ItemRecoverHp,{0}'s HP Restored
PanelBattle_Tips_ItemRecoverRager,{0}'s AP Restored
PanelBattle_Tips_ItemRevive,{0} Has Been Resurrected
PanelBattle_Tips_ItemRemoveRadiation,{0}'s radiation has been healed.
PanelBattle_Tips_BuffRecoverHp,Team HP Restored
PanelBattle_Tips_BuffRecoverRager,Team Gains AP
PanelBattle_Tips_BuffRemoveRadiation,Team radiation has been removed.
PanelBattle_Tips_BuffReduceHp,Team HP decreased
PanelBattle_Tips_BuffReduceRager,Team AP decreased.
PanelBattle_Tips_BuffAddRadiation,Team radiation level increased.
