INDEX,EN
Levels_Desc_25010500,It's full name is actually Long Neck Rutkowski's Packing House.
Levels_Name_25010600,DOCK CAR PARK
Levels_Desc_25010600,"Shall we stop here? There's no one to charge us, if you still have a car that is."
Levels_Name_26010100,SHERIFF'S OFFICE
Levels_Desc_26010100,Would there be so many monsters in the area if there was actually a sheriff working here?
Levels_Name_26010200,NAHANT WHARF
Levels_Desc_26010200,"Every dock has Raiders, I don't understand why."
Levels_Name_26010300,LAND OF FREEDOM
Levels_Desc_26010300,"Without a doubt, Raiders are the freest people in the Commonwealth area."
Levels_Name_26010400,CROUP MANOR
Levels_Desc_26010400,"The manor is a ruin, there's only garbage, if that can be of any use."
Levels_Name_24010100,EAST BOSTON FOUNDATION SCHOOL
Levels_Desc_24010100,The Raiders here have built some cells for holding hostages. Maybe the school made them a tad bit decent.
Levels_Name_24010200,EAST BOSTON POLICE STATION
Levels_Desc_24010200,"This police station has become a resting place for Raiders, so ironic."
Levels_Name_24010300,NORDHAGEN BEACH
Levels_Desc_24010300,Could we find a safe and quiet place across the oceans? Unknown because the Feral Ghouls won't let a single bone past them.
Levels_Name_24010400,STRANGBURG
Levels_Desc_24010400,"It's rumored that Strangburg still has a well protected armory. If you get along with the Super Mutants, maybe they'd give you something."
Levels_Name_24010500,BOSTON AIRPORT
Levels_Desc_24010500,"In the old days, the airport was covered with weeds, but the field was quite open. It's a good place to unwind (if there is nothing dangerous nearby)."
Levels_Name_28010100,ANDREW STATION
Levels_Desc_28010100,"Andrew Station has been, and still is the main point of transportation in the Boston area. Obviously the Raiders are well aware of this."
Levels_Name_28010200,MILITARY CHECKPOINT
Levels_Desc_28010200,There won't be any fully armed soldiers examining you. What's left here are Raiders that want to eat you up.
Levels_Name_28010300,UNIVERSITY POINT
Levels_Desc_28010300,"According to a secret message, the Institute is doing something with the Synths here......but what could that be?"
Levels_Name_28010400,GENERAL ATOMICS FACTORY
Levels_Desc_28010400,"No entry! There aren't any signs posted, but those robot attacks don't seem friendly."
Levels_Name_28010500,SOUTH BOSTON HIGH SCHOOL
Levels_Desc_28010500,Close to the main roads and coastline but hidden well. Nobody likes this place more than the Raiders.
Levels_Name_28010600,THE CASTLE
Levels_Desc_28010600,A generation of leaders from the Minutemen were buried here in memoriam. But the Minutemen's successors will not give up.
Levels_Name_27010100,MILTON GENERAL HOSPITAL
Levels_Desc_27010100,A group of mutants roams about this place. Perhaps there's something wrong with the auto-registration system?
Levels_Name_27010200,SHAW HIGH SCHOOL
Levels_Desc_27010200,Wanna relive golden days of high school? Then Shaw High School is your best destination...as long as you don't mind the huge greenskins wandering nearby.
Levels_Name_27010300,WEST ROXBURY STATION
Levels_Desc_27010300,The only railway station in West Roxbury. The Railroad might be very interested!
Levels_Name_27010400,FALLON'S DEPARTMENT STORE
Levels_Desc_27010400,You can buy everything here from teddy bears to rare treasures!
Levels_Name_20010100,ROBOTICS PIONEER PARK
Levels_Desc_20010100,They say here you'll see robots demonstrate in the park and sometimes perform on the stage.
Levels_Name_20010200,COAST GUARD PIER
Levels_Desc_20010200,A hundred push-ups a day and three boxes of sugar bomb will be your admission to the Coast Guard.
Levels_Name_19010100,ATOM PIT ENTRANCE
Levels_Desc_19010100,"You can activate the portal leading to Atom Pit here thanks to ""Father."""
Levels_Name_19010200,NATICK BANKS
Levels_Desc_19010200,A small town near Lake Cochituate suitable for day trips and fishing. The Feral Ghouls here will give you a thrilling vacation.
Levels_Name_19010300,ROADSIDE PINES MOTEL
Levels_Desc_19010300,A small inn run by bandits and raiders. But raiders are on edge lately due to the sluggish tourism.
Levels_Name_19010400,MASS PIKE INTERCHANGE
Levels_Desc_19010400,"""I'll walk to the interchange and start a long journey. Next stop is Natick. I remember to bring RAD-X."""
Levels_Name_19010500,POSEIDON RESERVOIR
Levels_Desc_19010500,These huge facilities provide water supply for nearby croplands. It would be great if there is a way to channel the water into the Vault.
Levels_Name_31010100,HILLTOP FARM RUINS
Levels_Desc_31010100,A great spot to look down on the whole area!
Levels_Name_31010200,YUKKY RESTAURANT
Levels_Desc_31010200,It's not the best name to draw customers. But you will never know till you try it.
Levels_Name_31010300,WILD RAD RANCH
Levels_Desc_31010300,You would be dead wrong if you thought you'd get good milk from the two-headed cows here.
Levels_Name_31010400,MDPL-16 POWER PLANT
Levels_Desc_31010400,"It used to provide power for the whole area, now it's a shelter for ghouls and mutant animals."
Levels_Name_31010500,ENCLAVE HILLTOP OUTPOST
Levels_Desc_31010500,A deserted camp turned into an outpost by Enclave scouts.
Levels_Name_31010600,THE REPUBLIC OF DAVE
Levels_Desc_31010600,"This place was previously called the Kingdom of Larry, the Republic of Stevie-Ray, Billsylvania, the New Republic of Stevie-Ray, the Kingdom of Tom..."
Levels_Name_32010100,VAULT 92
Levels_Desc_32010100,Rumors has it that this vault used to host all the great musicians in the world.
Levels_Name_32010200,MINEFIELD
Levels_Desc_32010200,"As the name suggests, travelers must tread lightly here!"
Levels_Name_32010300,TEMPLE OF THE UNION
Levels_Desc_32010300,In the center displays a giant statue of Lincoln's head... It looks a bit creepy.
Levels_Name_32010400,OLD OLNEY SEWERS
Levels_Desc_32010400,These long abandoned underground tunnels are completely overrun by Deathclaws.
Levels_Name_32010500,ROACH KING'S THRONE
Levels_Desc_32010500,"Hail the King, baby!"
Levels_Name_33010100,MONGOMERY COUNTY RESERVOIR
Levels_Desc_33010100,The reservoir once provided water for the whole area. Now it's but a camp to slavers.
Levels_Name_33010200,RECLINING GROVES RESORT
Levels_Desc_33010200,"Once a piece of good land, it's now a habitat to mutant creatures."
Levels_Name_33010300,PARADISE FALLS
Levels_Desc_33010300,Home to battle-hardened slavers. It even sends shivers down your spine to approach here.
Levels_Name_33010400,POLICE STATION
Levels_Desc_33010400,Overrun by mutants. Why do mutants always occupy such places?
Levels_Name_33010500,ALIEN CRASH SITE
Levels_Desc_33010500,For long you have heard an alien recon craft crashed here. But you found nothing.
Levels_Name_34010200,MDPL-21 POWER PLANT
Levels_Desc_34010200,Seems the Capital Wasteland is filled with power stations...
Levels_Name_34010300,CLIFFTOP SHACK
Levels_Desc_34010300,A shabby shack on the clifftop populated by mutants.
Levels_Name_34010400,BROADCAST TOWER LP8
Levels_Desc_34010400,A deserted broadcast tower inside which most facilities are still available.
Levels_Name_34010500,ENCLAVE OUTPOST
Levels_Desc_34010500,Another Enclave outpost populated by fearsome soldiers.
Levels_Name_34010600,SATCOM ARRAY NN-03D
Levels_Desc_34010600,The Capital Wasteland's famous satellite communications array that consists of three satellite dish arrays.
Levels_Name_35010100,Mason Dixon Salvage
Levels_Desc_35010100,Super mutants dwell here...with some other things...
Levels_Name_35010200,Fort Constantine
Levels_Desc_35010200,A group of defected robots roam this place and they will attack with indiscrimination.
Levels_Name_35010300,SatCom Array NW-05a
Levels_Desc_35010300,This SatCom Array seems to have something to do with the nearby silo. That's no fun at all!
Levels_Name_35010400,Hilltop Raiders' Hut
Levels_Desc_35010400,Some raiders who want to retire dwell here and herd brahmins for a living.
Levels_Name_35010500,Ravenrock
Levels_Desc_35010500,Below the cliff lies a secret Enclave base!
Levels_Name_36010100,Dickson Mass Hall
Levels_Desc_36010100,Dangers are hidden within the abandoned mass hall. It seems a tough guy lurks in here.
Levels_Name_36010200,Drowned Devil's Crossing
Levels_Desc_36010200,A crossing with a terrible name. You wonder if you see drowned ghosts here.
Levels_Name_36010300,Mount Mabel Campground
Levels_Desc_36010300,A normal campground for raiders. You may throw a picnic party here after clearing off the raiders.
Levels_Name_36010400,Abandoned Car Fort
Levels_Desc_36010400,Abandon cars are everywhere. Tear them apart and you will never worry about running out of scraps!
Levels_Name_36010500,Deathclaw Sanctuary
Levels_Desc_36010500,"Since it's called Deathclaw Sanctuary, there must be many deathclaws! Terrifying!"
Levels_Name_37010100,MDPL Mass Relay Station
Levels_Desc_37010100,Rumors had it the Brotherhood used to station here. Now it's but home to a bunch of raiders.
Levels_Name_37010200,Shalebridge
Levels_Desc_37010200,Infested with bugs. Hope you got enough pesticides!
Levels_Name_37010300,Rockbreaker's Last Gas
Levels_Desc_37010300,Mutants have captured this gas station. There might be something more gruesome.
Levels_Name_37010400,Five Axles Rest Stop
Levels_Desc_37010400,A group of gas-and-motor worshipping raiders rests here. What a lively lot.
Levels_Name_37010500,Vault 87
Levels_Desc_37010500,"It is said that all super mutants in the Capital Wasteland come from this vault, a place that gives you shivers."
Levels_Name_38010100,Everglow National Campground
Levels_Desc_38010100,The outpost of Talon Company. Be careful! They're professional mercenaries!
Levels_Name_38010200,Jalbert Brothers Waste Disposal
Levels_Desc_38010200,"No matter who Jalbert brothers are, clearly they have abandoned this place infested only with some wild mutant creatures."
Levels_Name_38010300,VAPL-58 Power Plant
Levels_Desc_38010300,A power plant infested with giant ants. Time to stomp a few!
Levels_Name_38010400,Wasteland Gypsy Village
Levels_Desc_38010400,Can ghouls do gypsy dance? You may find the answer here.
Levels_Name_38010500,Fort Bannister
Levels_Desc_38010500,Citadel for the Talon Company. You'd better not mess with these ruthless mercenaries!
Levels_Name_501,CONCORD SPEAKEASY
Levels_Desc_501,The Concord Speakeasy leads to various mysterious subterranean locations in the region.
Levels_Name_601,ABANDONED MILITARY BASE
Levels_Desc_601,A military base not documented on any maps or in any files.
Levels_Name_1601,CAMBRIDGE SEWERS
Levels_Desc_1601,"A complex network of abandoned subway pipelines, sewers, and various basements."
Levels_Name_1701,MASS PIKE TUNNEL
Levels_Desc_1701,"These tunnels, as well as the cavern deep below, have long been occupied by the Raiders. Who knows what secrets are hiding down there?"
Levels_Name_2201,BOSTON PARKING GARAGE
Levels_Desc_2201,"The parking garage and sewers in Boston are now connected, thanks to the destruction of the Great War."
Levels_Name_1801,FORT HAGEN UNDERPASS
Levels_Desc_1801,The secret underground passage from Fort Hagen to its satellite organizations.
Levels_Name_901,COVENANT
Levels_Desc_901,"This Covenant isn't as simple as it looks, the secrets that lie beneath it may shock you."
Levels_Name_1201,DEATHCLAW DEN
Levels_Desc_1201,"Right, this is the den of the Deathclaws! Be extremely careful when passing by. Avoid it entirely if you want to live."
Levels_Name_2501,DUNWICH EXCAVATION SITE
Levels_Desc_2501,This is a Crater beside Dunwich Borers. It's said an ancient evil hides deep inside. The Fat Man will make quick work of this.
Levels_Name_2701,MILTON PARKING GARAGE
Levels_Desc_2701,It seems the Feral Ghouls and other disgusting monsters really like to gather in garages.
Levels_Name_2801,SOUTH BOSTON ROBOT FACTORY
Levels_Desc_2801,This robot factory is hidden underground with no record of its existence. No one would have believed it would be here if it weren't for an accidental discovery.
Levels_RepUnitName_21010100,Legendary Super Mutant
Levels_RepUnitName_16010200,Legendary Mirelurk Queen
Levels_RepUnitName_6010200,Albino Deathclaw
Levels_RepUnitName_8010300,Legendary Raider Leader
Levels_RepUnitName_17010200,Legendary Raider Leader
Levels_RepUnitName_3010100,Legendary Raider Leader
Levels_Name_99901,RADROACH NEST
Levels_Desc_99901,"This is the nest of the culprits that frequently damage the Vault's pipelines, nothing too difficult to handle."
Levels_Name_99902,STINKY MOLE RAT NEST
Levels_Desc_99902,A stinky Mole Rat nest. Better wear a breathing mask before clearing it.
Levels_Name_99903,MOLE RATS' STORAGE
Levels_Desc_99903,The Mole Rats' stores of loot and food. How much have they stolen from the Vault?
Levels_Name_99904,MONSTER LAIR
Levels_Desc_99904,"Monster build their lairs underground, this isn't good news for Vaults!"
Levels_Name_99905,MIRELURK CAVE
Levels_Desc_99905,We found a Mirelurk nest when scouting under the Vault. Please clear out this threat for us.
Levels_Name_99906,RADSCORPION TUNNEL
Levels_Desc_99906,"Radscorpions dug a tunnel under our Vault, we must destroy it."
Levels_Name_99907,RADSCORPION HATCHLING NEST
Levels_Desc_99907,One of the largest Radscorpion nest and more are ready to hatch!
Levels_Name_99908,MOLE RAT DEN
Levels_Desc_99908,Some dangerous Mole Rats are sleeping in the deep underground. When they wake up they can be devastating to the Vault.
Levels_Name_99909,A DEATHCLAW HIBERNATION NEST
Levels_Desc_99909,"Shhh! There's a scary Deathclaw here. Let it sleep, unless you have the confidence you can put him down."
Levels_Name_99910,DEATHCLAW SANCTUARY
Levels_Desc_99910,"This Deathclaw appears to have hidden underground to hide out from threats. However, it's a greater danger to us."
Levels_Name_800110101,BARREN FIELD
Levels_Name_800110102,BARREN FIELD
Levels_Name_800110103,RUN-DOWN WAREHOUSE
Levels_Name_800110104,BARREN FIELD
Levels_Name_800110106,BARREN FIELD
Levels_Name_800110107,LONELY SHACK
Levels_Name_800110108,FORGOTTEN WAREHOUSE
Levels_Name_800110110,BARREN FIELD
Levels_Name_800110111,LONELY SHACK
Levels_Name_800110112,BARREN FIELD
Levels_Name_800110113,RUN-DOWN WAREHOUSE
Levels_Name_800110115,LOST WILDERNESS
Levels_Name_800110116,FORGOTTEN SHACK
Levels_Name_800110117,BARREN FIELD
Levels_Name_800110118,BARREN FIELD
Levels_Name_800110119,BARREN FIELD
Levels_Name_800110120,BARREN FIELD
Levels_Name_800110121,FORGOTTEN WAREHOUSE
Levels_Name_800110122,LOST WILDERNESS
Levels_Name_800110124,FORGOTTEN SHACK
Levels_Name_800110125,BARREN FIELD
Levels_Name_800110126,BARREN FIELD
Levels_Name_800110127,BARREN FIELD
Levels_Name_800110128,RUN-DOWN WAREHOUSE
Levels_Name_800110130,LOST WILDERNESS
Levels_Name_800110131,LOST WILDERNESS
Levels_Name_800110132,FORGOTTEN SHACK
Levels_Name_800110133,FORGOTTEN WAREHOUSE
Levels_Name_800110135,FORGOTTEN SHACK
Levels_Name_800110136,DANGEROUS WILDERNESS
Levels_Name_800110137,CLOSED FACILITY
Levels_Name_800110138,ABANDONED FACILITY
Levels_Name_800105101,HUNT HUNGER
Levels_Name_800105102,BARREN FIELD
Levels_Name_800105103,FORGOTTEN SHACK
Levels_Name_800105104,PERILOUS WILDERNESS
Levels_Name_800105105,RUINED RESIDENCE
Levels_Name_800105106,PERILOUS FIELD
Levels_Name_800105107,FORGOTTEN WAREHOUSE
Levels_Name_800105108,SEALED LAB
Levels_Name_800105109,RUINED WAREHOUSE
Levels_Name_800105110,DRY RIVERBED
Levels_Name_800105111,FORGOTTEN INN
Levels_Name_800105112,POLLUTED FIELD
Levels_Name_800105113,LETHAL SNARE!
Levels_Name_800105114,HIDDEN BASE
Levels_Name_800105115,DESOLATE FIELD
Levels_Name_800105116,ABANDONED MALL
Levels_Name_800105117,PERILOUS FIELD
Levels_Name_800105118,DESOLATE FIELD
Levels_Name_800105119,BARREN FIELD
Levels_Name_800105120,PERILOUS WILDERNESS
Levels_Name_800105121,ABANDONED INN
Levels_Name_800105122,POLLUTED BANKS
Levels_Name_800105123,HIDDEN RESIDENCE
Levels_Name_800105124,HIDDEN WAREHOUSE
Levels_Name_800105125,DANGEROUS BANKS
Levels_Name_800105126,LOST WILDERNESS
